,movieId,title,genres,imdbId,tmdbId,adult,origin_country,original_title,popularity,production_companies,production_countries,release_date,spoken_languages,tagline,vote_average,vote_count,cast
7449,1574,Fall (1997),Romance,119098,37567.0,False,US,Fall,4.4386,Terence Michael Productions,United States of America,1997-06-20,English,"He's a cab driver, she's a supermodel.  What the hell?",6.614,22,"Eric Schaeffer, Amanda de Cadenet, Rudolf Martin, Francie Swift"
7450,1575,Gabbeh (1996),Drama,116384,43771.0,False,IR,گبه,1.0427,"Sanaye Dasti, MK2 Films","Iran, France",1996-06-26,فارسی,Life is Colour. Love is Colour.,6.6,54,"Shaghayeh Djodat, Abbas Sayah, Hossein Moharami, Rogheih Moharami"
7451,1577,Mondo (1996),Drama,117076,124834.0,False,FR,Mondo,0.1072,CNC,France,1995-06-01,Français,,6.909,11,"Ovidiu Balan, Philippe Petit, Pierrette Fesch, Schahla Aalam"
7452,1578,"Innocent Sleep, The (1996)",Crime,113425,249358.0,False,GB,The Innocent Sleep,1.682,Timedial Films,United Kingdom,1996-01-25,English,The Truth Can Be Murder,4.3,3,"Rupert Graves, Annabella Sciorra, Michael Gambon, Franco Nero"
7453,1579,For Ever Mozart (1996),Drama,116334,111367.0,False,FR,For Ever Mozart,0.3791,"Avventura Films, Périphéria, France 2 Cinéma, Canal+, CNC, Vega Film, TSR, Eurimages, DFF - Deutsches Filminstitut & Filmmuseum, ECM Records, Auvergne-Rhône-Alpes Cinéma","France, Switzerland",1996-11-27,Français,,6.0,19,"Madeleine Assas, Ghalya Lacroix, Bérangère Allaux, Vicky Messica"
7454,1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,119654,607.0,False,US,Men in Black,17.9497,"Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions",United States of America,1997-07-02,"English, Español",Protecting the Earth from the scum of the universe.,7.206,14048,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio"
7455,1581,Out to Sea (1997),Comedy,119848,18080.0,False,US,Out to Sea,3.066,"Davis Entertainment, 20th Century Fox",United States of America,1997-07-02,English,Get ready to Rumba!,5.675,103,"Jack Lemmon, Walter Matthau, Dyan Cannon, Brent Spiner"
7456,1582,Wild America (1997),Adventure|Children,120512,38225.0,False,US,Wild America,3.4962,Morgan Creek Entertainment,United States of America,1997-07-02,English,Take a ride on the wild side.,6.1,103,"Jonathan Taylor Thomas, Scott Bairstow, Devon Sawa, Frances Fisher"
7457,1583,"Simple Wish, A (1997)",Children|Fantasy,120133,17834.0,False,US,A Simple Wish,1.268,"The Bubble Factory, Universal Pictures",United States of America,1997-07-11,English,Anabel made a wish. Murray made a mess.,5.5,166,"Martin Short, Kathleen Turner, Mara Wilson, Robert Pastorelli"
7458,1584,Contact (1997),Drama|Sci-Fi,118884,686.0,False,US,Contact,14.3614,"South Side Amusement Company, Warner Bros. Pictures",United States of America,1997-07-11,"English, Pусский, Español",Take a journey to the heart of the universe.,7.432,4609,"Jodie Foster, Matthew McConaughey, James Woods, John Hurt"
7459,1585,Love Serenade (1996),Comedy,116930,65046.0,False,AU,Love Serenade,0.5817,"New South Wales Film & Television Office, Film Victoria, Jan Chapman Productions, Australian Film Finance Corporation",Australia,1996-10-10,English,Two sisters will do anything to hook the right man.,6.1,24,"Miranda Otto, Rebecca Frith, George Shevtsov, John Alansu"
7460,1586,G.I. Jane (1997),Action|Drama,119173,4421.0,False,US,G.I. Jane,6.1592,"Caravan Pictures, Largo Entertainment, Trap-Two-Zero Productions, Roger Birnbaum Productions, Moving Pictures, Scott Free Productions, Hollywood Pictures","United Kingdom, United States of America",1997-08-19,English,Failure is not an option.,6.47,1722,"Demi Moore, Viggo Mortensen, Morris Chestnut, Josh Hopkins"
7461,1587,Conan the Barbarian (1982),Action|Adventure|Fantasy,82198,9387.0,False,US,Conan the Barbarian,8.8109,"Universal Pictures, The De Laurentiis Company, Pressman Film",United States of America,1982-04-02,English,Thief. Warrior. Gladiator. King.,6.811,2567,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman"
7462,1588,George of the Jungle (1997),Children|Comedy,119190,10603.0,False,US,George of the Jungle,3.296,"Mandeville Films, Walt Disney Pictures",United States of America,1997-07-15,"English, Español",Watch out!,5.626,2119,"Brendan Fraser, Leslie Mann, Thomas Haden Church, John Cleese"
7463,1589,Cop Land (1997),Action|Crime|Drama|Thriller,118887,2142.0,False,US,Cop Land,7.529,"Miramax, Across the River Productions, Woods Entertainment",United States of America,1997-08-15,English,No One Is Above The Law.,6.786,1652,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro"
7464,1590,Event Horizon (1997),Horror|Sci-Fi|Thriller,119081,8413.0,False,GB,Event Horizon,13.9611,"Impact Pictures, Paramount Pictures, Golar Productions, Lawrence Gordon Productions","United Kingdom, United States of America",1997-08-15,"English, Latin",Infinite space. Infinite terror.,6.541,2953,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson"
7465,1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,120177,10336.0,False,US,Spawn,4.1379,"New Line Cinema, Pull Down Your Pants Pictures, Todd McFarlane Entertainment, Juno Pix",United States of America,1997-07-31,English,Born in darkness. Sworn to justice.,5.418,1378,"Michael Jai White, Martin Sheen, John Leguizamo, Theresa Randle"
7466,1592,Air Bud (1997),Children|Comedy,118570,20737.0,False,US,Air Bud,2.4716,"Walt Disney Pictures, Keystone Pictures, Air Bud Entertainment","Canada, United States of America",1997-08-01,English,He Sits. He Stays. He Shoots. He Scores.,5.561,480,"Kevin Zegers, Wendy Makkena, Michael Jeter, Bill Cobbs"
7467,1593,Picture Perfect (1997),Comedy|Romance,119896,9413.0,False,US,Picture Perfect,5.4557,"3 Arts Entertainment, 20th Century Fox",United States of America,1997-08-01,English,She was prepared for anything until love stormed in.,5.9,429,"Jennifer Aniston, Jay Mohr, Kevin Bacon, Olympia Dukakis"
7468,1594,In the Company of Men (1997),Comedy|Drama,119361,14585.0,False,CA,In the Company of Men,1.5672,"Alliance Atlantis, Fair and Square Productions","Canada, United States of America",1997-03-28,English,Are all men bastards...or just misunderstood?,6.74,156,"Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin"
7469,1595,Free Willy 3: The Rescue (1997),Adventure|Children|Drama,119152,18519.0,False,US,Free Willy 3: The Rescue,1.6342,"Donner/Shuler-Donner Productions, Regency Enterprises, Warner Bros. Pictures, Warner Bros. Family Entertainment",United States of America,1997-08-06,English,A new friend. A new threat. A new adventure that will capture your heart.,6.1,343,"Jason James Richter, August Schellenberg, Annie Corley, Vincent Berry"
7470,1596,Career Girls (1997),Drama,118818,49462.0,False,GB,Career Girls,1.8636,"Matrix Films, Thin Man Films, Film4 Productions","France, United Kingdom",1997-06-01,English,All Hannah wanted was a roommate... instead she got a best friend.,6.599,76,"Katrin Cartlidge, Lynda Steadman, Mark Benton, Kate Byers"
7471,1597,Conspiracy Theory (1997),Drama|Mystery|Romance|Thriller,118883,8834.0,False,US,Conspiracy Theory,8.4323,"Silver Pictures, Warner Bros. Pictures, Donner/Shuler-Donner Productions",United States of America,1997-08-08,English,What if your most paranoid nightmares had just come true?,6.602,1507,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart"
7472,1598,Desperate Measures (1998),Crime|Drama|Thriller,118966,9458.0,False,US,Desperate Measures,5.365,"TriStar Pictures, Mandalay Entertainment, Mandalay Pictures",United States of America,1998-01-30,"English, Español",Desperate times call for. . .,5.99,293,"Michael Keaton, Andy García, Brian Cox, Marcia Gay Harden"
7473,1599,Steel (1997),Action,120207,8854.0,False,US,Steel,5.5593,"Quincy Jones-David Salzman Entertainment, Warner Bros. Pictures",United States of America,1997-08-15,English,Heroes don't come any bigger.,4.284,261,"Shaquille O'Neal, Annabeth Gish, Richard Roundtree, Judd Nelson"
7474,1600,She's So Lovely (1997),Drama|Romance,120112,38295.0,False,US,She's So Lovely,2.7775,Miramax,"France, United States of America",1997-08-29,English,The story of one outrageous woman. Caught between two men. Both of them certain of one thing...,5.9,118,"Sean Penn, Robin Wright, John Travolta, Harry Dean Stanton"
7475,1601,Hoodlum (1997),Crime|Drama|Film-Noir,119311,22073.0,False,US,Hoodlum,5.658,"United Artists, Frank Mancuso Jr. Productions, Metro-Goldwyn-Mayer",United States of America,1997-08-27,English,Power is measured in enemies.,6.433,202,"Laurence Fishburne, Tim Roth, Vanessa Williams, Andy García"
7476,1602,Leave It to Beaver (1997),Comedy,119509,37244.0,False,US,Leave It to Beaver,3.1567,"Universal Pictures, Robert Simonds Productions",United States of America,1997-08-22,English,The Beav is back!,5.4,85,"Christopher McDonald, Janine Turner, Cameron Finley, Erik von Detten"
7477,1603,Mimic (1997),Horror|Sci-Fi|Thriller,119675,4961.0,False,US,Mimic,5.4828,Dimension Films,United States of America,1997-08-22,"普通话, English, Italiano","For thousands of years, man has been evolution's greatest creation... until now.",6.063,1138,"Mira Sorvino, Jeremy Northam, Alexander Goodwin, Giancarlo Giannini"
7478,1604,Money Talks (1997),Action|Comedy,119695,9416.0,False,US,Money Talks,5.1854,"New Line Cinema, Juno Pix",United States of America,1997-08-22,English,This ain't no buddy movie.,6.026,392,"Chris Tucker, Charlie Sheen, Heather Locklear, Elise Neal"
7479,1605,Excess Baggage (1997),Adventure|Romance,119086,26180.0,False,US,Excess Baggage,4.0311,Columbia Pictures,United States of America,1997-08-29,English,"A crash course in kidnappings, car thefts and other rituals of dating.",6.0,244,"Alicia Silverstone, Benicio del Toro, Christopher Walken, Jack Thompson"
7480,1606,Kull the Conqueror (1997),Action|Adventure,119484,17832.0,False,US,Kull the Conqueror,1.3525,"Universal Pictures, Korsala Productions, Raffaella De Laurentiis Productions",United States of America,1997-08-29,English,Courage conquers all.,5.165,142,"Kevin Sorbo, Tia Carrere, Karina Lombard, Thomas Ian Griffith"
7481,1608,Air Force One (1997),Action|Thriller,118571,9772.0,False,US,Air Force One,9.4326,Radiant Productions,United States of America,1997-07-25,"Pусский, English",The fate of the nation rests on the courage of one man.,6.482,3065,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
7482,1609,187 (One Eight Seven) (1997),Drama|Thriller,118531,6072.0,False,US,One Eight Seven,5.4547,Icon Productions,United States of America,1997-07-29,"English, Español","When schools become war zones and both sides start taking casualties, what then?",6.641,580,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr."
7483,1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,99810,1669.0,False,US,The Hunt for Red October,5.8728,"Paramount Pictures, Mace Neufeld Productions, Nina Saxon Film Design",United States of America,1990-03-02,"English, Pусский",Invisible. Silent. Stolen.,7.381,3377,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill"
7484,1611,My Own Private Idaho (1991),Drama|Romance,102494,468.0,False,US,My Own Private Idaho,4.8037,"New Line Cinema, Fine Line Features",United States of America,1991-02-01,"English, Deutsch, Italiano","Wherever, whatever, have a nice day.",7.06,1147,"River Phoenix, Keanu Reeves, James Russo, William Richert"
7485,1612,"Kiss Me, Guido (1997)",Comedy,119465,32519.0,False,US,"Kiss Me, Guido",1.773,"Redeemable Features, Capitol Films",United States of America,1997-07-18,English,,5.1,27,"Nick Scotti, Anthony Barrile, Anthony DeSando, Craig Chester"
7486,1613,Star Maps (1997),Drama,120197,108401.0,False,US,Star Maps,2.4226,"Flan de Coco Films, King Pictures, Fox Searchlight Pictures",,1997-07-23,,In Hollywood every dream has a price.,5.6,17,"Douglas Spain, Efrain Figueroa, Kandeyce Jorden, Martha Velez"
7487,1614,In & Out (1997),Comedy,119360,10806.0,False,US,In & Out,1.6378,"Paramount Pictures, Spelling Films, Scott Rudin Productions",United States of America,1997-09-10,English,An out-and-out comedy.,6.5,700,"Kevin Kline, Joan Cusack, Tom Selleck, Matt Dillon"
7488,1615,"Edge, The (1997)",Adventure|Drama,119051,9433.0,False,US,The Edge,7.483,Linson Entertainment,United States of America,1997-09-06,English,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",6.838,1205,"Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau"
7489,1616,"Peacemaker, The (1997)",Action|Thriller|War,119874,6623.0,False,US,The Peacemaker,6.6951,DreamWorks Pictures,United States of America,1997-09-26,"English, Pусский, Srpski, Bosanski, Hrvatski","In the fall of 1997, every nuclear device in the world will be accounted for...except one.",6.041,1027,"George Clooney, Nicole Kidman, Marcel Iureș, Aleksandr Baluev"
7490,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,119488,2118.0,False,US,L.A. Confidential,4.4046,"Regency Enterprises, Warner Bros. Pictures, Wolper Organization",United States of America,1997-09-19,English,Everything is suspect... Everyone is for sale... And nothing is what it seems.,7.796,5103,"Guy Pearce, Russell Crowe, Kevin Spacey, Kim Basinger"
7491,1619,Seven Years in Tibet (1997),Adventure|Drama|War,120102,978.0,False,US,Seven Years in Tibet,6.2085,"TriStar Pictures, Mandalay Entertainment, Applecross, Reperage & Vanguard Films, Sony Pictures","United Kingdom, United States of America",1997-09-12,"普通话, English, Deutsch, हिन्दी, Português, ",At the end of the world his real journey began.,7.157,2908,"Brad Pitt, Jamyang Jamtsho Wangchuk, David Thewlis, BD Wong"
7492,1620,Kiss the Girls (1997),Crime|Drama|Mystery|Thriller,119468,9437.0,False,US,Kiss the Girls,9.1383,"Paramount Pictures, Rysher Entertainment, David Brown Productions",United States of America,1997-09-29,English,Smart girls. Pretty girls. Missing girls.,6.534,1708,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur"
7493,1621,Soul Food (1997),Drama,120169,29461.0,False,US,Soul Food,2.8699,"Edmonds Entertainment Group, Fox 2000 Pictures",United States of America,1997-09-26,English,Every family needs some.,6.3,83,"Vanessa Williams, Vivica A. Fox, Nia Long, Michael Beach"
7494,1622,Kicked in the Head (1997),Comedy|Drama,119457,56651.0,False,US,Kicked in the Head,1.6489,"October Films, De Fina-Cappa, CBS Fox Video",United States of America,1997-09-26,English,A satirical love story.,4.0,8,"Kevin Corrigan, Linda Fiorentino, Michael Rapaport, Lili Taylor"
7495,1623,Wishmaster (1997),Horror,120524,10351.0,False,US,Wishmaster,2.8157,"Live Entertainment, Image Organization, Pierre David",United States of America,1997-09-19,English,Be careful what you wish for.,6.021,626,"Angus Scrimm, Andrew Divoff, Tammy Lauren, Robert Englund"
7496,1624,"Thousand Acres, A (1997)",Drama,120323,66588.0,False,US,A Thousand Acres,2.6544,"Touchstone Pictures, Propaganda Films, Beacon Communications, Via Rosa Productions, Prairie Films, PolyGram Filmed Entertainment, Universal Pictures",United States of America,1997-09-19,English,Best friends. Bitter rivals. Sisters.,5.767,75,"Michelle Pfeiffer, Jessica Lange, Jason Robards, Jennifer Jason Leigh"
7497,1625,"Game, The (1997)",Drama|Mystery|Thriller,119174,2649.0,False,US,The Game,13.111,"PolyGram Filmed Entertainment, Propaganda Films",United States of America,1997-09-12,"广州话 / 廣州話, Deutsch, English",What do you get for the man who has everything?,7.568,6796,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn"
7498,1626,Fire Down Below (1997),Action|Drama|Thriller,119123,14289.0,False,US,Fire Down Below,2.2889,"Seagal/Nasso Productions, Warner Bros. Pictures",United States of America,1997-09-05,English,Beneath a land of wealth and beauty hides a secret that could kill millions. Undercover has never run so deep.,5.7,360,"Steven Seagal, Marg Helgenberger, Stephen Lang, Brad Hunt"
7499,1627,U Turn (1997),Crime|Drama|Mystery,120399,10155.0,False,US,U Turn,1.6245,"Canal+ Droits Audiovisuels, Illusion Entertainment Group, Phoenix Pictures, Clyde Is Hungry Films","France, United States of America",1997-10-03,English,Sex. Murder. Betrayal. Everything that makes life worth living.,6.64,749,"Sean Penn, Nick Nolte, Jennifer Lopez, Joaquin Phoenix"
7500,1628,"Locusts, The (1997)",Drama,119557,75250.0,False,US,The Locusts,3.6861,"Orion Pictures, Motion Picture Corporation of America",United States of America,1997-10-03,English,Every betrayal begins with trust.,5.6,18,"Vince Vaughn, Jeremy Davies, Ashley Judd, Paul Rudd"
7501,1629,"MatchMaker, The (1997)",Comedy|Romance,119632,20457.0,False,IE,The Matchmaker,2.3943,"Good Film Company, Working Title Films, PolyGram Filmed Entertainment, Gramercy Pictures","United Kingdom, United States of America",1997-10-03,English,A comedy for the incurably unromantic.,6.2,47,"Janeane Garofalo, David O'Hara, Milo O’Shea, Jay O. Sanders"
7502,1631,"Assignment, The (1997)",Action|Thriller,118647,18355.0,False,US,The Assignment,1.3173,"Triumph Films, Program de Credits of Impuc, Super Écran, Satch-Mo, Gouvernement du Québec, Allegro Films, The Movie Network",Canada,1997-09-28,English,,6.361,151,"Aidan Quinn, Donald Sutherland, Ben Kingsley, Claudia Ferri"
7503,1632,"Smile Like Yours, A (1997)",Comedy|Romance,120151,33657.0,False,US,A Smile Like Yours,1.9638,"Rysher Entertainment, Paramount Pictures",United States of America,1997-08-27,English,The shortest distance between two people is a certain smile.,3.6,20,"Greg Kinnear, Lauren Holly, Joan Cusack, Jay Thomas"
7504,1633,Ulee's Gold (1997),Drama,120402,55306.0,False,US,Ulee's Gold,2.6186,"Orion Pictures, Nunez-Gowan, Clinica Estetico",United States of America,1997-06-13,English,,6.515,75,"Peter Fonda, Patricia Richardson, Christine Dunford, Tom Wood"
7505,1635,"Ice Storm, The (1997)",Drama,119349,68924.0,False,US,The Ice Storm,7.4779,"Canal+ Droits Audiovisuels, Fox Searchlight Pictures, Good Machine","France, United States of America",1997-09-27,English,"It was 1973, and the climate was changing.",6.9,683,"Kevin Kline, Joan Allen, Sigourney Weaver, Jamey Sheridan"
7506,1636,Stag (1997),Action|Thriller,120192,36434.0,False,US,Stag,2.7724,"Rampage Entertainment, Lions Gate Films",United States of America,1997-04-01,English,The life of the party just died!,4.6,13,"Mario Van Peebles, Andrew McCarthy, Kevin Dillon, Taylor Dayne"
7507,1639,Chasing Amy (1997),Comedy|Drama|Romance,118842,2255.0,False,US,Chasing Amy,4.8588,"View Askew Productions, Miramax",United States of America,1997-04-04,English,It's not who you love. It's how.,6.776,1430,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell"
7508,1640,How to Be a Player (1997),Comedy,119326,28353.0,False,US,How to Be a Player,3.0551,"PolyGram Filmed Entertainment, Island Pictures, Outlaw Productions",United States of America,1997-08-06,English,So many women. So little time.,5.7,40,"Bill Bellamy, Lark Voorhies, Amber Smith, Natashia Williams"
7509,1641,"Full Monty, The (1997)",Comedy|Drama,119164,9427.0,False,GB,The Full Monty,5.5757,"Redwave Films, Channel Four Films",United Kingdom,1997-08-13,English,The year's most revealing comedy.,6.994,1683,"Robert Carlyle, Mark Addy, Wim Snape, Steve Huison"
7510,1642,Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy|Drama,116631,172545.0,False,US,Indian Summer,1.2637,"Channel 4 Television, Martin Pope Productions",United Kingdom,1996-11-08,English,Love is the ultimate kick,4.9,9,"Jason Flemyng, Antony Sher, Dorothy Tutin, Anthony Higgins"
7511,1643,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",Drama|Romance,119280,17589.0,False,IE,Mrs Brown,1.2089,"Miramax, BBC Scotland, GBH","Ireland, United Kingdom, United States of America",1997-07-18,English,Loyalty without question. Friendship without equal.,6.8,180,"Judi Dench, Billy Connolly, Geoffrey Palmer, Antony Sher"
7512,1644,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,119345,3597.0,False,US,I Know What You Did Last Summer,6.6621,"Summer Knowledge LLC, Mandalay Entertainment, Columbia Pictures, Original Film",United States of America,1997-10-17,English,"If you're going to bury the truth, make sure it stays buried.",5.975,2868,"Jennifer Love Hewitt, Sarah Michelle Gellar, Freddie Prinze Jr., Ryan Phillippe"
7513,1645,"Devil's Advocate, The (1997)",Drama|Mystery|Thriller,118971,1813.0,False,US,The Devil's Advocate,11.4091,"Monarchy Enterprises B.V., Regency Enterprises, Kopelson Entertainment, New Regency Pictures, Taurus Film, Warner Bros. Pictures","Germany, United States of America",1997-10-17,"English, 广州话 / 廣州話, Français, Italiano, Español",The newest attorney at the world's most powerful law firm has never lost a case. But he's about to lose his soul.,7.469,6197,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones"
7514,1646,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi,120029,36797.0,False,US,RocketMan,3.6952,"Walt Disney Pictures, Caravan Pictures",United States of America,1997-10-10,English,He's just taking up space!,5.204,130,"Harland Williams, Jessica Lundy, William Sadler, Jeffrey DeMunn"
7515,1647,Playing God (1997),Crime|Drama|Thriller,119906,12628.0,False,US,Playing God,3.2564,"Touchstone Pictures, Beacon Pictures",United States of America,1997-10-17,"Français, English, Pусский",Joining this deadly underworld was easy. But getting out...deadly!,5.496,112,"David Duchovny, Timothy Hutton, Angelina Jolie, Michael Massee"
7516,1648,"House of Yes, The (1997)",Comedy|Drama,119324,33344.0,False,US,The House of Yes,2.2655,"Bandeira Entertainment, Spelling Films",,1997-10-10,,Enter at your own risk.,6.231,108,"Parker Posey, Josh Hamilton, Tori Spelling, Freddie Prinze Jr."
7517,1649,"Fast, Cheap & Out of Control (1997)",Documentary,119107,25099.0,False,US,"Fast, Cheap & Out of Control",0.3073,"American Playhouse, Errol Morris Films, Fourth Floor Pictures",United States of America,1997-10-03,English,,6.782,39,"Dave Hoover, George Mendonça, Raymond A. Mendez, Rodney Brooks"
7518,1650,Washington Square (1997),Drama,120481,45019.0,False,US,Washington Square,2.8667,"Alchemy Filmworks, Caravan Pictures, Hollywood Pictures, Roger Birnbaum Productions",United States of America,1997-10-10,"Français, English",She must choose between her father's fortune... Or the man she loves.,6.2,42,"Jennifer Jason Leigh, Albert Finney, Maggie Smith, Ben Chaplin"
7519,1651,Telling Lies in America (1997),Drama,120303,63437.0,False,US,Telling Lies in America,3.4613,"Kuzui Enterprises, Banner Entertainment, Ben Myron Productions",United States of America,1997-08-02,English,Just don't get caught.,5.8,38,"Kevin Bacon, Brad Renfro, Maximilian Schell, Calista Flockhart"
7520,1652,Year of the Horse (1997),Documentary,120539,62422.0,False,US,Year of the Horse,0.4455,Shakey Pictures,United States of America,1997-10-08,English,,6.0,20,"Neil Young, Ralph Molina, Frank Sampedro, Billy Talbot"
7521,1653,Gattaca (1997),Drama|Sci-Fi|Thriller,119177,782.0,False,US,Gattaca,12.3865,"Jersey Films, Columbia Pictures",United States of America,1997-09-07,"English, Esperanto",There is no gene for the human spirit.,7.56,6490,"Ethan Hawke, Uma Thurman, Jude Law, Alan Arkin"
7522,1654,FairyTale: A True Story (1997),Children|Drama|Fantasy,119095,29911.0,False,US,FairyTale: A True Story,3.4915,"Icon Productions, Wendy Finerman Productions, Paramount Pictures",United States of America,1997-10-24,English,Believe.,6.4,110,"Florence Hoath, Elizabeth Earl, Paul McGann, Peter O'Toole"
7523,1655,Phantoms (1998),Drama|Horror|Thriller,119891,9827.0,False,US,Phantoms,4.3105,"Dimension Films, Raven House, Inc., NEO Motion Pictures, Fuji Creative Corporation","Japan, United States of America",1998-01-23,English,For centuries they told us the terror would come from above. We've been looking the wrong way.,5.375,359,"Ben Affleck, Peter O'Toole, Rose McGowan, Joanna Going"
7524,1656,Swept from the Sea (1997),Drama|Romance,120257,1959.0,False,GB,Swept from the Sea,2.9892,"Tapson Steel Films Productions, TriStar Pictures, Phoenix Pictures, The Greenlight Fund","United Kingdom, United States of America",1998-01-23,English,"In the heart of an outcast, he found his destiny. In the passion of an outsider, she found her home.",6.5,67,"Rachel Weisz, Vincent Perez, Ian McKellen, Kathy Bates"
7525,1657,Wonderland (1997),Comedy|Documentary,120529,251481.0,False,US,Wonderland,0.3841,Good Machine,United States of America,1997-10-17,English,Welcome to suburbia ground zero.,7.0,1,"Bill Griffith, Eddie Money, John McGarr"
7526,1658,"Life Less Ordinary, A (1997)",Romance|Thriller,119535,8067.0,False,GB,A Life Less Ordinary,4.6563,"Figment Films, Film4 Productions",United Kingdom,1997-10-24,English,Did they fall in love or were they pushed?,6.1,463,"Ewan McGregor, Cameron Diaz, Holly Hunter, Delroy Lindo"
7527,1659,Hurricane Streets (1997),Drama,119338,125052.0,False,US,Hurricane Streets,1.4283,"Posthorn Pictures, Giv'en Films",United States of America,1997-01-21,English,Know life. No limits.,5.1,19,"Brendan Sexton III, Antoine McLean, Mtume Gant, Carlo Alban"
7528,1660,Eve's Bayou (1997),Drama,119080,45153.0,False,US,Eve's Bayou,4.726,"Trimark Pictures, Addis Wechsler Pictures, ChubbCo Film",United States of America,1997-11-07,"Français, , English",The secrets that hold us together can also tear us apart.,6.343,137,"Jurnee Smollett, Meagan Good, Samuel L. Jackson, Lynn Whitfield"
7529,1661,Switchback (1997),Crime|Mystery|Thriller,119210,10871.0,False,US,Switchback,1.3638,"Rysher Entertainment, Pacific Western, Paramount Pictures",United States of America,1997-10-31,English,The hunter becomes the hunted.,6.0,238,"Dennis Quaid, Danny Glover, R. Lee Ermey, Jared Leto"
7530,1662,Gang Related (1997),Crime,118900,14398.0,False,US,Gang Related,1.0056,"Orion Pictures, Kouf/Bigelow Productions",United States of America,1997-10-08,English,Some cops play by the rules. Their own.,6.333,162,"Jim Belushi, Tupac Shakur, Lela Rochon, Dennis Quaid"
7531,1663,Stripes (1981),Comedy|War,83131,10890.0,False,US,Stripes,3.2405,Columbia Pictures,United States of America,1981-06-26,"English, Pусский, Polski",The story of a man who wanted to keep the world safe for democracy...and meet girls.,6.6,931,"Bill Murray, Harold Ramis, Warren Oates, P. J. Soles"
7532,1664,Nenette and Boni (Nénette et Boni) (1996),Drama,117221,99002.0,False,FR,Nénette et Boni,0.2416,"Dacia Films, La Sept Cinéma, Canal+, CNC",France,1997-01-29,Français,,6.5,35,"Grégoire Colin, Alice Houri, Jacques Nolot, Valeria Bruni Tedeschi"
7533,1665,Bean (1997),Comedy,118689,1281.0,False,GB,Bean,4.2452,"Working Title Films, Tiger Aspect, PolyGram Filmed Entertainment","United Kingdom, United States of America",1997-07-03,English,One man. One masterpiece. One very big mistake.,6.456,2446,"Rowan Atkinson, Peter MacNicol, Pamela Reed, Tricia Vessey"
7534,1666,Hugo Pool (1997),Romance,119327,32332.0,False,US,Hugo Pool,2.2098,"Nomadic Pictures, BMG Independents",United States of America,1997-12-12,English,A comedy with serious relief,5.142,53,"Alyssa Milano, Patrick Dempsey, Cathy Moriarty, Malcolm McDowell"
7535,1667,Mad City (1997),Action|Drama,119592,9770.0,False,US,Mad City,4.0205,"Arnold Kopelson Productions, Warner Bros. Pictures, Punch Productions",United States of America,1997-11-07,English,One man will make a mistake. The other will make it a spectacle.,6.2,348,"John Travolta, Dustin Hoffman, Mia Kirshner, Alan Alda"
7536,1668,One Night Stand (1997),Drama,119832,12616.0,False,US,One Night Stand,0.617,New Line Cinema,United States of America,1997-11-14,English,Sometimes an entire life can change in just one night.,5.652,112,"Wesley Snipes, Nastassja Kinski, Kyle MacLachlan, Ming-Na Wen"
7537,1669,"Tango Lesson, The (1997)",Romance,120275,34838.0,False,GB,The Tango Lesson,0.9944,"Arts Council of England, Adventure Pictures, Adventure Films, Sony Pictures Classics","Argentina, France, Germany, Netherlands, United Kingdom",1997-11-28,"Deutsch, English, Français, Español",,6.5,27,"Sally Potter, Morgane Maugran, Pablo Verón, Géraldine Maillet"
7538,1670,Welcome to Sarajevo (1997),Drama|War,120490,14905.0,False,BA,Welcome to Sarajevo,1.7394,"Miramax, Channel Four Films, Dragon Pictures","United Kingdom, United States of America",1997-05-09,"Bosanski, Srpski, English","To get the story, they’ll risk everything.",6.4,112,"Stephen Dillane, Woody Harrelson, Marisa Tomei, Goran Višnjić"
